,id,station_id,event_count
0,1,3,480824
1,2,4,473814
2,3,5,476261
3,4,6,476324
4,5,7,441909
5,6,8,482320
6,7,9,469300
7,8,10,467633
8,9,11,482298
9,10,12,480774
10,11,13,480647
11,12,14,480825
12,13,15,482303
13,14,16,481992
14,15,17,482274
15,16,18,477814
16,17,19,74119
17,18,20,482204
18,19,21,482025
19,20,22,482197
20,21,23,482200
21,22,24,482201
22,23,25,482248
23,24,26,466493
24,25,27,480650
25,26,29,472738
26,27,30,468817
27,28,31,466172
28,29,32,480609
29,30,33,477767
30,31,34,351205
31,32,35,479004
32,33,36,470269
33,34,37,482024
34,35,38,482022
35,36,39,479008
36,37,40,482021
37,38,41,476803
38,39,42,465681
39,40,43,477551
40,41,44,485595
41,42,45,469037
42,43,46,482202
43,44,47,469007
44,45,48,478998
45,46,49,482016
46,47,50,446209
47,48,51,456300
48,49,52,479199
49,50,53,477598
50,51,54,457863
51,52,55,469022
52,53,56,416202
53,54,57,480646
54,55,58,440591
55,56,59,457929
56,57,60,440590
57,58,61,396077
58,59,62,403402
59,60,63,440604
60,61,64,445551
61,62,65,288489
62,63,66,83912
63,64,67,84240
64,65,68,88220
65,66,69,84485
66,67,70,88210
67,68,71,68527
68,69,72,68221
69,70,73,90047
70,71,74,89733
71,72,75,89611
72,73,76,89859
73,74,77,86953
74,75,78,86952
75,76,79,86618
76,77,80,78556
77,78,81,84224
78,79,82,83936
79,80,83,78421
80,81,84,74114
81,82,85,73933
82,83,86,68301
83,84,87,33668
84,85,88,46668
85,86,89,33788
86,87,90,46897
87,88,91,46791
88,89,92,33566
89,90,93,33418
90,91,94,28215
91,92,95,28136
92,93,96,28062
93,94,97,27965
94,95,98,27864
95,96,99,0
96,97,100,0
97,98,101,0
98,99,102,0
99,100,103,0
100,101,104,0
101,102,105,0
102,103,106,0
103,104,107,0
104,105,108,0
105,106,109,0
106,107,110,0
107,108,111,0
108,109,112,0
109,110,113,0
110,111,114,0
111,112,115,0
112,113,116,0
113,114,117,0
114,115,118,0
115,116,119,0
116,117,120,0
117,118,121,0
118,119,122,0
119,120,123,0
120,121,124,0
121,122,125,0
122,123,126,0
123,124,127,0
124,125,128,0
125,126,129,0
126,127,130,0
127,128,131,0
128,129,132,0
129,130,133,0
130,131,134,0
131,132,135,0
132,133,136,0
133,134,137,0
134,135,138,0
135,136,139,0
136,137,140,0
137,138,141,0
138,139,142,0
139,140,143,0
140,141,144,0
141,142,145,0
