,id,station_id,terminal,station_name,latitude,longitude,existing,num_events
0,1,3,B32006,Colleges of the Fenway,42.340021,-71.100812,False,0
1,2,4,C32000,Tremont St. at Berkeley St.,42.345392,-71.069616,False,0
2,3,5,B32012,Northeastern U / North Parking Lot,42.341814,-71.090179,False,0
3,4,6,D32000,Cambridge St. at Joy St.,42.361285,-71.06514,False,0
4,5,7,A32000,Fan Pier,42.353412,-71.044624,False,0
5,6,8,A32001,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,False,0
6,7,9,A32002,Agganis Arena - 925 Comm Ave.,42.351313,-71.116174,False,0
7,8,10,A32003,B.U. Central - 725 Comm. Ave.,42.350075,-71.105884,False,0
8,9,11,A32004,Longwood Ave / Binney St,42.338629,-71.1065,False,0
9,10,12,B32002,Ruggles Station / Columbus Ave.,42.335911,-71.088496,False,0
10,11,13,C32002,Boston Medical Center - 721 Mass. Ave.,42.334057,-71.07403,False,0
11,12,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,False,0
12,13,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,False,0
13,14,16,C32003,Back Bay / South End Station,42.347433,-71.076163,False,0
14,15,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365074,-71.119581,False,0
15,16,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,42.36337,-71.129791,False,0
16,17,19,A32008,Buswell Park,42.347527,-71.105828,False,0
17,18,20,B32004,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,False,0
18,19,21,C32007,Prudential Center / Belvidere,42.345959,-71.082578,False,0
19,20,22,A32010,South Station - 700 Atlantic Ave.,42.352175,-71.055547,False,0
20,21,23,B32008,Mayor Thomas M. Menino - Government Center,42.359677,-71.059364,False,0
21,22,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,42.351821,-71.045461,False,0
22,23,25,A32009,Tremont St / W Newton St,42.341332,-71.076847,False,0
23,24,26,D32002,Washington St. at Waltham St.,42.341522,-71.068922,False,0
24,25,27,C32001,Roxbury Crossing Station,42.331567,-71.094734,False,0
25,26,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,False,0
26,27,30,B32013,Brigham Cir / Huntington Ave,42.334073,-71.105221,False,0
27,28,31,B32014,Seaport Hotel,42.348833,-71.041747,False,0
28,29,32,B32015,Landmark Centre,42.343912,-71.102221,False,0
29,30,33,B32010,Kenmore Sq / Comm Ave,42.349046,-71.096831,False,0
30,31,34,B32009,Overland St at Brookline Ave,42.346171,-71.099855,False,0
31,32,35,D32004,Summer St. / Arch St.,42.354594,-71.05896,False,0
32,33,36,D32005,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,False,0
33,34,37,D32001,New Balance - 38 Guest St.,42.357247,-71.146452,False,0
34,35,38,D32003,TD Garden - Legends Way,42.366231,-71.060868,False,0
35,36,39,C32006,Washington St. at Rutland St.,42.338623,-71.074182,False,0
36,37,40,D32006,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,False,0
37,38,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,False,0
38,39,42,D32007,Boylston St. at Arlington St.,42.352096,-71.070378,False,0
39,40,43,D32008,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,False,0
40,41,44,D32009,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,False,0
41,42,45,B32011,Yawkey Way at Boylston St.,42.344763,-71.09788,False,0
42,43,46,B32005,Christian Science Plaza,42.343864,-71.085918,False,0
43,44,47,D32010,Cross St. at Hanover St.,42.362811,-71.056067,False,0
44,45,48,D32012,Post Office Square,42.356755,-71.055407,False,0
45,46,49,D32011,Stuart St. at Charles St.,42.351146,-71.066289,False,0
46,47,50,D32013,Boylston St / Berkeley St,42.350989,-71.073644,False,0
47,48,51,C32005,Washington St. at Lenox St.,42.3348756,-71.0790969,False,0
48,49,52,B32000,Newbury St / Hereford St,42.348717,-71.085954,False,0
49,50,53,B32016,Beacon St / Mass Ave,42.350851,-71.089886,False,0
50,51,54,D32014,Tremont St / West St,42.354979,-71.063348,False,0
51,52,55,B32018,Boylston / Mass Ave,42.347265,-71.088088,False,0
52,53,56,B32017,Dudley Square,42.3281898,-71.0833545,False,0
53,54,57,C32004,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,False,0
54,55,58,D32017,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,False,0
55,56,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,False,0
